"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"",46,-68.5190557418751,1.35601881121242,0.604721147315404,0.246635966994719,-0.418761570668057,-0.115304290652572,-0.537636037495916,0.86781630371631,0.168707940506569,0.29887316165488,-0.302117215234056,0.112123936894242,0.0263694423847448,-0.173312394798563,-0.249024917836107,0.113766082993212,1.47717365263718,0.673612606976997,0.802167863521919,-0.761462308805873
"",47,-68.0199830959743,1.36635061966901,0.609548270736443,0.249306029210164,-0.420776583552036,-0.116851222051077,-0.539852605720604,0.878211282320978,0.170048557152491,0.300413502775483,-0.303937548810549,0.116531326736396,0.0237222573638319,-0.175684858043979,-0.253895299633052,0.114404497499421,1.4868902370392,0.678518234956118,0.805577910764425,-0.76306224352892
"",48,-67.5371292270823,1.37649774942345,0.614277770143162,0.251898992033545,-0.422708355579313,-0.1183781261778,-0.542004091691378,0.888476042184185,0.171374534343522,0.301926272416552,-0.305744757499048,0.120893418717806,0.0210662689204163,-0.178001399709245,-0.2587133194568,0.115052712544178,1.49646228182839,0.683309102694724,0.808890097881426,-0.764592124609117
"",49,-67.0696449849441,1.38646732035466,0.618913087249792,0.254417504379495,-0.424560268724438,-0.119885581513583,-0.54409390683039,0.898614000902245,0.172686415525852,0.303413195586375,-0.307539350051879,0.12521026084052,0.0184027107797252,-0.180263646687759,-0.263479664833217,0.115710301138228,1.50589577724884,0.687989716731153,0.812109099189628,-0.76605575396929
"",50,-66.616742092124,1.39626604123743,0.623457496186507,0.256864119010026,-0.426335546699957,-0.121374143913567,-0.546125236376035,0.908628441055858,0.173984705395066,0.304875870950962,-0.309321774063935,0.12948197202365,0.0157327308626405,-0.182473182036303,-0.268195041178935,0.116376833596491,1.51519631369068,0.692564353359385,0.815239296472472,-0.767456662863849
"",51,-66.1776876526222,1.40590024052437,0.627914114238477,0.259241295587055,-0.428037264511978,-0.122844347536139,-0.548101056696338,0.918522518243042,0.175269873411548,0.306315780994499,-0.311092423237073,0.133708733868486,0.0130573979910931,-0.184631545086071,-0.27286016870669,0.117051880076305,1.52436911585497,0.697037073145696,0.818284802126403,-0.768798135568592
"",52,-65.751799253056,1.41537589432146,0.632285911695817,0.261551403719783,-0.429668357224846,-0.124296705735793,-0.550024151083344,0.928299268393717,0.176542356945365,0.307734301256782,-0.312851643784189,0.137890783250447,0.0103777079684564,-0.186740231720422,-0.277475779605043,0.117735012724254,1.53341907349637,0.701411734304558,0.821249480077284,-0.77008323063552
"",53,-65.3384405824568,1.42469865185809,0.636575720906946,0.263796725988944,-0.431231628020263,-0.125731711921144,-0.551897124182431,0.937961614451181,0.177802564094926,0.309132708743684,-0.314599740081056,0.142028405651544,0.00769458910403586,-0.188800694793174,-0.282042615470464,0.118425807484575,1.54235076913315,0.705692005046045,0.824136964718444,-0.771314799998846
"",54,-64.9370175071438,1.43387385871553,0.640786244616291,0.265979460933686,-0.432729755625277,-0.127149840379361,-0.553722415192428,0.947512372493898,0.179050876217786,0.310512189595309,-0.316336979659162,0.146121929157218,0.0050089072419563,-0.190814344664789,-0.28656142497176,0.11912384561467,1.55116850306412,0.709881374993658,0.826950678089771,-0.772495506180626
"",55,-64.546974545953,1.44290657804591,0.64492006365736,0.268101725989868,-0.434165301174321,-0.128551547068215,-0.555502309956775,0.956954257361045,0.180287650206948,0.311873846086628,-0.318063597620263,0.150171719050163,0.00232147034719604,-0.192782549836771,-0.291032961728612,0.119828714946873,1.55987631598939,0.713983165759898,0.829693845489568,-0.773627837812099
"",56,-64.1677916985087,1.4518016099861,0.648979644063695,0.270165560371051,-0.435540714562405,-0.129937270376973,-0.557238952052387,0.966289887836736,0.181513220541671,0.313218703026798,-0.319779800542608,0.154178172941379,-0.000366967304973171,-0.194706637667228,-0.295457982387495,0.120540010930289,1.56847800949507,0.71800054075694,0.832369509687222,-0.774714123659237
"",57,-63.7989815855753,1.46056350944718,0.652967343652893,0.272172927885469,-0.436858340339669,-0.131307431857249,-0.55893435297109,0.975521791440575,0.182727901138125,0.314547713615916,-0.321485769939649,0.158141716385232,-0.00305570129549233,-0.196587895152751,-0.299837244879616,0.121257337481928,1.5769771646305,0.721936514311103,0.834980543884195,-0.77575654531729
"",58,-63.4400868658789,1.46919660243926,0.656885418132537,0.27412571968396,-0.4381204231915,-0.132662436924947,-0.560590401478173,0.984652408866018,0.18393198702203,0.315861764811401,-0.323181665324198,0.162062798931101,-0.00574407354815401,-0.198427569763727,-0.304171506846741,0.121980307672506,1.58537715877915,0.725793960142238,0.837529663553172,-0.776757148718717
"",59,-63.0906778984158,1.47770500107357,0.660736026771405,0.276025756935173,-0.439329113043227,-0.134002675534341,-0.562208872223562,0.993684098102698,0.185125755842682,0.317161682250527,-0.324867626924218,0.165941890569204,-0.00843146910475327,-0.200226870321889,-0.308461524221825,0.122708544268924,1.59368118100056,0.72957561926262,0.840019437269847,-0.777717854581284
"",60,-62.7503506231526,1.48609261736777,0.664521237674519,0.277874793425481,-0.440486469823884,-0.135328522825314,-0.563791433673231,1.00261913827433,0.186309469245429,0.318448234770566,-0.326543778090664,0.169779478532599,-0.0111173131607761,-0.201986967910347,-0.312708049952395,0.123441680152606,1.60189224600038,0.733284107344172,0.842452296638476,-0.778640467907921
"",61,-62.4187246364728,1.49436317596668,0.668243032696478,0.279674518081961,-0.441594467919637,-0.136640339744725,-0.565339655421456,1.01145973321987,0.187483374117567,0.319722138563653,-0.328210227432752,0.173576064421275,-0.0138010683368096,-0.20370899680767,-0.316911832855477,0.124179358630406,1.61001320686728,0.736921921597796,0.84483054540076,-0.779526686636713
"",62,-62.0954414405537,1.50252022587877,0.671903312023856,0.28142655741753,-0.442655000344012,-0.137938473642844,-0.566855014938388,1.02020801484235,0.188647703720899,0.320984060999555,-0.329867070711705,0.177332161617667,-0.0164822321636246,-0.205394055438676,-0.321073616593717,0.124921233652688,1.6180467667,0.740491447204193,0.847156367807474,-0.780378109527947
"",63,-61.780162848444,1.51056715131766,0.675503898454257,0.283132477897936,-0.443669882649116,-0.139223258845743,-0.568338903801966,1.02886604624666,0.189802678722617,0.322234624146146,-0.331514392520267,0.181048292965993,-0.0191603347612861,-0.207043207335587,-0.325194138763078,0.12566696995132,1.62599548923423,0.743994963331646,0.849431836323414,-0.78119624336518
"",64,-61.4725695287261,1.51850718172913,0.67904654139685,0.284793788230825,-0.444640856599394,-0.140495017204508,-0.569792633458385,1.03743582468533,0.190948508134851,0.323474408014331,-0.333152267772015,0.184724988690496,-0.0218349366947645,-0.208657482104085,-0.329274130083177,0.12641624310878,1.63386180856675,0.7474346487728,0.851658918728499,-0.781982509538535
"",65,-61.1723596755919,1.52634340107524,0.682532920616702,0.286411941577456,-0.445569593627208,-0.1417540586221,-0.571217440551037,1.04591928432902,0.192085390172041,0.324703953551497,-0.334780763021654,0.188362784530137,-0.0245056269903653,-0.210237876389526,-0.333314313681998,0.127168739568116,1.64164803806385,0.750812587229437,0.853839484671056,-0.782738250070864
"",66,-60.8792477917365,1.53407875644046,0.685964649743089,0.287988337688038,-0.446457698087503,-0.143000681558666,-0.572614491854031,1.05431829887648,0.193213513034266,0.325923765405197,-0.336399937634996,0.191962220069371,-0.0271720212989295,-0.21178535483929,-0.337315404467269,0.127924156592372,1.64935637853167,0.754130772271561,0.855975311723346,-0.783464733140719
"",67,-60.5929635729582,1.54171606601779,0.689343279560001,0.289524324961837,-0.447306710327057,-0.144235173516065,-0.573984888843019,1.06263468401735,0.194333055623763,0.327134314476644,-0.338009844825182,0.195523837246644,-0.0298337601931849,-0.213300851057782,-0.341278108577386,0.12868220218097,1.6569889257181,0.757391111994685,0.858068090984122,-0.784163158150211
"",68,-60.313250884569,1.54925802652741,0.692670301095394,0.291021202433494,-0.448118109582282,-0.145457811502369,-0.57532967193299,1.0708701997594,0.195444188201091,0.328336040281711,-0.33961053256979,0.199048179023929,-0.0324905075878987,-0.214785268551161,-0.345203122905228,0.129442594949657,1.66454767720822,0.760595433397116,0.86011943226837,-0.78483466038069
"",69,-60.0398668208248,1.55670722011515,0.69594714852417,0.292480221687093,-0.448893316718135,-0.146668862477046,-0.576649824409985,1.07902655263082,0.19654707298668,0.329529353135474,-0.34120204442181,0.202535788202196,-0.0351419492725983,-0.216239481659305,-0.349091134688751,0.130205063979794,1.67203453876933,0.763745486497084,0.862130868920277,-0.78548031527464
"",70,-59.7725808395289,1.56406612077363,0.699175201898555,0.293902588699685,-0.44963369681954,-0.14786858377754,-0.577946276081261,1.08710539776708,0.197641864712915,0.330714636174807,-0.342784420226038,0.205987206369114,-0.0377877915476227,-0.217664336472926,-0.352942821162622,0.130969348642068,1.6794513301956,0.766842948207903,0.864103862281842,-0.786101142378151
"",71,-59.5111739648253,1.57133710032481,0.702355789718323,0.295289465616058,-0.450340561645599,-0.149057223527918,-0.579219906666221,1.09510834089068,0.198728711131348,0.331892247232222,-0.344357696751115,0.209402972966547,-0.0404277599551433,-0.219060651734114,-0.356758849265635,0.131735198399061,1.6867997906973,0.769889425987797,0.866039805846322,-0.786698108974824
"",72,-59.255438051914,1.57852243399905,0.705490191352211,0.296641972456606,-0.451015171955962,-0.150235021030255,-0.580471548948471,1.10303694019149,0.19980775347918,0.333062520572918,-0.345921908246338,0.212783624466544,-0.0430615980975853,-0.220429219718887,-0.360539875398987,0.132502372590582,1.69408158387545,0.772886461279643,0.867940029122836,-0.787272133438776
"",73,-59.0051751080875,1.5856243056427,0.708579639320934,0.297961188760216,-0.45165873971787,-0.151402207139382,-0.581701991707572,1.11089270811464,0.200879126908684,0.334225768505962,-0.34747708693136,0.216129693645559,-0.0456890665365683,-0.221770807100608,-0.364286545230902,0.133270640205164,1.70129830231816,0.77583553275469,0.86980580123592,-0.787824088331666
"",74,-58.7601966650649,1.59264481258309,0.711625321451316,0.299248155164106,-0.452272430201617,-0.152559004621647,-0.582911982447483,1.11867711306216,0.201942960882934,0.335382282879507,-0.349023263426018,0.219441708947571,-0.0483099417661226,-0.223086155793367,-0.36799949354338,0.134039779640712,1.70845147185191,0.778738059373132,0.871638334281549,-0.788354803266153
"",75,-58.5203231981058,1.59958597017753,0.714628382910264,0.300503874922568,-0.452857363971559,-0.153705628498262,-0.584102229937207,1.12639158101397,0.202999379540798,0.336532336469125,-0.350560467126735,0.222720193927631,-0.0509240152544873,-0.224375983774626,-0.371679344117211,0.134809578456896,1.7155425554774,0.781595403273479,0.873438786459116,-0.788865067556027
"",76,-58.2853835878308,1.60644971607013,0.717589928126623,0.30172931536659,-0.453414618779141,-0.154842286373858,-0.585273406577866,1.13403749707351,0.204048502033926,0.337676184267513,-0.352088726535271,0.225965666768114,-0.0535310925493003,-0.225640985886629,-0.37532670965165,0.135579833121558,1.72257295701698,0.784408872501681,0.875208264997049,-0.789355632671259
"",77,-58.0552146211051,1.61323791417875,0.720511022608292,0.302925409306284,-0.453945231363924,-0.155969178750789,-0.586426150609231,1.14161620694264,0.205090442838144,0.338814064683147,-0.353608069544963,0.229178639860671,-0.0561309924414432,-0.226881834616227,-0.378942191715456,0.136350348753108,1.72954402449817,0.787179723590198,0.876947828888141,-0.789827214514473
